"GO_0008","        RAW_CAL/C0164385445R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  2.608
"GO_0008","        RAW_CAL/C0164385500R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  2.607
"GO_0008","        RAW_CAL/C0164385545R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  2.613
"GO_0008","        RAW_CAL/C0164385645R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","EXTENDED","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  2.675
"GO_0008","        RAW_CAL/C0164386100R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.408
"GO_0008","        RAW_CAL/C0164386145R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.428
"GO_0008","        RAW_CAL/C0164386200R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.433
"GO_0008","        RAW_CAL/C0164386245R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.433
"GO_0008","        RAW_CAL/C0164386300R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.477
"GO_0008","        RAW_CAL/C0164386345R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.439
"GO_0008","        RAW_CAL/C0164386400R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.430
"GO_0008","        RAW_CAL/C0164386445R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.439
"GO_0008","        RAW_CAL/C0164386500R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.459
"GO_0008","        RAW_CAL/C0164386545R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                           N/A","                           N/A","                            NA","         CK_SSI_ACTUAL_EE09.BC","            SSI_MINI_E.EE09 GK",  0.439
