"GO_0017","       J0/OPNAV/C0346405900R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  1.425
"GO_0017","       J0/OPNAV/C0346409400R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  1.523
"GO_0017","       J0/OPNAV/C0347170900R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  2.720
"GO_0017","       J0/OPNAV/C0347174400R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  2.047
"GO_0017","       J0/OPNAV/C0347449900R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  2.456
"GO_0017","       J0/OPNAV/C0347559500R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  2.083
"GO_0017","       J0/OPNAV/C0347569700R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  1.754
"GO_0017","       J0/OPNAV/C0347590500R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  2.426
"GO_0017","       J0/OPNAV/C0347593900R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  1.786
"GO_0017","       J0/OPNAV/C0347769100R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  0.209
"GO_0017","       J0/OPNAV/C0347843900R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  1.913
"GO_0017","       J0/OPNAV/C0347847300R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  1.659
"GO_0017","       J0/OPNAV/C0347996200R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  2.556
"GO_0017","       J0/OPNAV/C0348002300R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  2.483
"GO_0017","       J0/OPNAV/C0348065400R.LBL","IM8", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                  S971016A.BSP","                  S971016A.BSP","                           N/A","                  CKJ0CDUH.PLT","SSI_S NIP.J0CDUH_MODIFIED06039",  2.173
