"GO_0021","    E18/RAW_CAL/C0477421600R.LBL","HMA",  1,  1,128,784, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","Y","CONTIGUOUS READOUT","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","UNIFOR", -1,  0, -1,"   UNK","    UNK","                  S990607A.BSP","                  S990607A.BSP","                           N/A","                  CKMN58AA.PLT","                          NULL",  2.793
"GO_0021","    E18/RAW_CAL/C0477422100R.LBL","HIM",  1,  1,136,784, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","Y","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","UNIFOR", -1,  0, -1,"   UNK","    UNK","                  S990607A.BSP","                  S990607A.BSP","                           N/A","                  CKMN58AA.PLT","                          NULL",  2.967
"GO_0021","    E18/RAW_CAL/C0477423113R.LBL","HMA", 45, 80,228,705, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","Y","CONTIGUOUS READOUT","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","UNIFOR", -1,  0, -1,"   UNK","    UNK","                  S990607A.BSP","                  S990607A.BSP","                           N/A","                  CKMN58AA.PLT","                          NULL",  2.684
"GO_0021","    E18/RAW_CAL/C0477423126R.LBL","HMA", 45,  1,228, 80, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","Y","CONTIGUOUS READOUT","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","UNIFOR", -1,  0, -1,"   UNK","    UNK","                  S990607A.BSP","                  S990607A.BSP","                           N/A","                  CKMN58AA.PLT","                          NULL",  3.281
"GO_0021","    E18/RAW_CAL/C0477423213R.LBL","HMA",  1, 80, 45,705, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","Y","CONTIGUOUS READOUT","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","UNIFOR", -1,  0, -1,"   UNK","    UNK","                  S990607A.BSP","                  S990607A.BSP","                           N/A","                  CKMN58AA.PLT","                          NULL",  2.725
"GO_0021","    E18/RAW_CAL/C0477423226R.LBL","HMA",  1,  1, 45, 80, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","Y","CONTIGUOUS READOUT","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","UNIFOR", -1,  0, -1,"   UNK","    UNK","                  S990607A.BSP","                  S990607A.BSP","                           N/A","                  CKMN58AA.PLT","                          NULL",  3.415
"GO_0021","    E18/RAW_CAL/C0477423800R.LBL","HIM",  1, 65,135,720, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","Y","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","UNIFOR", -1,  0, -1,"   UNK","    UNK","                  S990607A.BSP","                  S990607A.BSP","                           N/A","                  CKMN58AA.PLT","                          NULL",  3.194
"GO_0021","    E18/RAW_CAL/C0477423900R.LBL","HIM",  1,  1,135, 65, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","Y","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","UNIFOR", -1,  0, -1,"   UNK","    UNK","                  S990607A.BSP","                  S990607A.BSP","                           N/A","                  CKMN58AA.PLT","                          NULL",  3.989
"GO_0021","    E18/RAW_CAL/C0477425800R.LBL","HIM",  1,170,136,615, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","Y","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","UNIFOR", -1,  0, -1,"   UNK","    UNK","                  S990607A.BSP","                  S990607A.BSP","                           N/A","                  CKMN58AA.PLT","                          NULL",  3.841
"GO_0021","    E18/RAW_CAL/C0477426400R.LBL","HIM",  1,  1,136,170, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","Y","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","UNIFOR", -1,  0, -1,"   UNK","    UNK","                  S990607A.BSP","                  S990607A.BSP","                           N/A","                  CKMN58AA.PLT","                          NULL",  4.670
"GO_0021","     E19/EUROPA/C0484864900R.LBL","IM8",  1,  1,160,800, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","UNIFOR", -1,  0, -1,"   UNK","    UNK","                  S990201A.BSP","                  S991014A.BSP","                           N/A","                   MIPS_NAV.CK","                          NULL",  3.959
